Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,105.9000015258789,106.9800033569336,105.5199966430664,106.8499984741211,105.30443572998047,360100
2019-01-02,105.6500015258789,105.6500015258789,103.05999755859375,104.13999938964844,102.63363647460938,323100
2019-01-03,103.66000366210938,103.66000366210938,100.91000366210938,101.4800033569336,100.01212310791016,312600
2019-01-04,102.37999725341797,105.08000183105469,102.37999725341797,103.91000366210938,102.40697479248047,569100
2019-01-07,103.55000305175781,105.41000366210938,103.08999633789062,104.13999938964844,102.63363647460938,386800
2019-01-08,104.9800033569336,106.8499984741211,104.08000183105469,106.70999908447266,105.16647338867188,454900
2019-01-09,107.54000091552734,108.38999938964844,107.16999816894531,107.55000305175781,105.99432373046875,316400
2019-01-10,107.33999633789062,109.18000030517578,106.72000122070312,109.02999877929688,107.45291137695312,219800
2019-01-11,108.58999633789062,110.0,108.52999877929688,110.0,108.40888214111328,410300
2019-01-14,109.29000091552734,109.70999908447266,107.81999969482422,107.83000183105469,106.27025604248047,284600
2019-01-15,108.2300033569336,109.68000030517578,107.79000091552734,109.66000366210938,108.07379913330078,424900
2019-01-16,110.19000244140625,111.93000030517578,110.19000244140625,111.25,109.64080047607422,369500
2019-01-17,110.51000213623047,113.55999755859375,110.44000244140625,112.6500015258789,111.02054595947266,526100
2019-01-18,113.54000091552734,114.11000061035156,112.27999877929688,112.80000305175781,111.16838836669922,477100
2019-01-22,112.05999755859375,112.91000366210938,111.37000274658203,112.69999694824219,111.06981658935547,251500
2019-01-23,113.04000091552734,114.66000366210938,112.77999877929688,113.44999694824219,111.80896759033203,354100
2019-01-24,113.6500015258789,114.91999816894531,113.45999908447266,114.75,113.09017944335938,328200
2019-01-25,114.7699966430664,116.95999908447266,114.7699966430664,116.12999725341797,114.4502182006836,327400
2019-01-28,115.27999877929688,116.25,114.23999786376953,114.9800033569336,113.31684875488281,451000
2019-01-29,115.0,115.66999816894531,113.33000183105469,113.9800033569336,112.33131408691406,473800
2019-01-30,114.4800033569336,115.18000030517578,112.25,113.63999938964844,111.99623107910156,364000
2019-01-31,113.69000244140625,115.30000305175781,112.61000061035156,114.05999755859375,112.41014862060547,545800
2019-02-01,114.13999938964844,115.12000274658203,113.55000305175781,114.7300033569336,113.07047271728516,349600
2019-02-04,114.2300033569336,115.58999633789062,113.26000213623047,115.45999908447266,113.78990173339844,291500
2019-02-05,115.94999694824219,118.51000213623047,115.2699966430664,118.11000061035156,116.40157318115234,559400
2019-02-06,117.91999816894531,119.0199966430664,117.79000091552734,118.58999633789062,116.87461853027344,529400
2019-02-07,118.19999694824219,119.54000091552734,117.4800033569336,119.1500015258789,117.4265365600586,553100
2019-02-08,118.47000122070312,118.72000122070312,117.75,118.58999633789062,116.87461853027344,355900
2019-02-11,119.02999877929688,120.68000030517578,118.58999633789062,119.86000061035156,118.12625122070312,789400
2019-02-12,121.16999816894531,123.5,119.55999755859375,120.80000305175781,119.05265808105469,1029300
2019-02-13,120.54000091552734,121.19999694824219,119.5999984741211,120.19000244140625,118.45148468017578,578700
2019-02-14,119.45999908447266,121.4000015258789,118.77999877929688,121.04000091552734,119.2891845703125,419800
2019-02-15,121.81999969482422,122.41000366210938,121.33000183105469,122.27999877929688,120.51124572753906,311900
2019-02-19,122.0,123.52999877929688,121.66999816894531,122.51000213623047,120.73792266845703,373300
2019-02-20,122.1500015258789,123.3499984741211,121.7699966430664,122.8499984741211,121.07301330566406,277000
2019-02-21,122.54000091552734,123.41999816894531,121.83999633789062,122.37999725341797,120.60980224609375,317400
2019-02-22,122.30000305175781,123.45999908447266,121.68000030517578,122.38999938964844,120.61966705322266,362000
2019-02-25,123.0,123.75,121.41999816894531,121.95999908447266,120.19587707519531,479000
2019-02-26,121.51000213623047,121.55999755859375,120.31999969482422,120.55999755859375,119.1482925415039,300300
2019-02-27,120.45999908447266,120.93000030517578,119.79000091552734,120.62000274658203,119.20759582519531,272600
2019-02-28,120.36000061035156,121.56999969482422,120.05999755859375,120.95999908447266,119.54361724853516,395100
2019-03-01,121.97000122070312,122.9000015258789,120.44000244140625,122.5999984741211,121.1644058227539,349600
2019-03-04,122.83999633789062,123.16999816894531,120.81999969482422,122.02999877929688,120.60108947753906,356200
2019-03-05,121.86000061035156,122.55999755859375,120.25,121.27999877929688,119.85985565185547,175400
2019-03-06,121.31999969482422,121.33999633789062,119.6500015258789,120.05999755859375,118.6541519165039,460700
2019-03-07,120.05999755859375,120.66999816894531,119.48999786376953,119.80000305175781,118.39720153808594,199900
2019-03-08,118.93000030517578,119.76000213623047,118.18000030517578,119.16999816894531,117.77456665039062,344500
2019-03-11,119.51000213623047,121.04000091552734,119.06999969482422,120.9800033569336,119.56339263916016,219500
2019-03-12,121.08000183105469,122.37000274658203,120.5,122.2300033569336,120.79873657226562,260200
2019-03-13,122.69000244140625,123.63999938964844,122.3499984741211,122.80999755859375,121.37194061279297,578100
2019-03-14,122.7300033569336,123.70999908447266,121.79000091552734,123.55000305175781,122.1032943725586,381200
2019-03-15,124.0,124.26000213623047,122.7699966430664,123.37999725341797,121.93527221679688,650400
2019-03-18,123.55999755859375,123.55999755859375,121.54000091552734,123.2300033569336,121.78703308105469,539900
2019-03-19,123.5,123.68000030517578,122.55999755859375,123.30999755859375,121.8660888671875,168200
2019-03-20,122.30000305175781,124.48999786376953,122.30000305175781,123.22000122070312,121.77714538574219,262100
2019-03-21,122.87999725341797,125.48999786376953,122.87999725341797,125.16000366210938,123.69444274902344,496300
2019-03-22,124.54000091552734,124.87999725341797,122.97000122070312,123.0199966430664,121.5794906616211,272800
2019-03-25,122.58000183105469,122.87000274658203,121.29000091552734,122.44000244140625,121.00627899169922,331500
2019-03-26,123.54000091552734,123.73999786376953,122.33999633789062,123.23999786376953,121.79690551757812,336000
2019-03-27,123.36000061035156,125.81999969482422,122.2699966430664,125.2699966430664,123.80314636230469,399400
2019-03-28,125.12999725341797,127.2699966430664,124.54000091552734,126.66999816894531,125.1867446899414,219300
2019-03-29,127.45999908447266,128.63999938964844,126.47000122070312,128.02999877929688,126.53081512451172,352700
2019-04-01,128.35000610351562,129.52999877929688,126.06999969482422,127.43000030517578,125.93785858154297,296700
2019-04-02,127.69000244140625,128.02999877929688,125.81999969482422,126.55000305175781,125.06816101074219,259300
2019-04-03,127.20999908447266,127.25,125.58999633789062,125.9800033569336,124.50483703613281,372700
2019-04-04,126.2300033569336,126.98999786376953,124.95999908447266,125.80999755859375,124.3368148803711,323400
2019-04-05,126.02999877929688,127.12999725341797,125.0,125.47000122070312,124.00080108642578,477700
2019-04-08,125.58999633789062,125.94999694824219,124.02999877929688,125.52999877929688,124.06009674072266,694000
2019-04-09,125.52999877929688,127.08000183105469,124.69999694824219,125.69999694824219,124.22811126708984,291500
2019-04-10,126.04000091552734,127.12000274658203,125.58000183105469,126.41999816894531,124.9396743774414,511900
2019-04-11,126.72000122070312,128.36000061035156,126.44000244140625,128.10000610351562,126.60001373291016,436700
2019-04-12,128.49000549316406,129.22999572753906,127.93000030517578,128.66000366210938,127.1534423828125,377900
2019-04-15,128.97000122070312,129.8699951171875,128.25999450683594,128.67999267578125,127.17320251464844,388900
2019-04-16,129.6999969482422,129.6999969482422,124.98999786376953,125.19999694824219,123.73396301269531,443400
2019-04-17,126.02999877929688,126.23999786376953,119.62000274658203,120.48999786376953,119.0791244506836,897300
2019-04-18,121.12000274658203,123.30999755859375,120.19000244140625,122.83000183105469,121.39171600341797,641100
2019-04-22,122.23999786376953,125.48999786376953,122.23999786376953,123.25,121.80679321289062,359400
2019-04-23,123.6500015258789,126.55999755859375,123.6500015258789,125.72000122070312,124.24786376953125,438300
2019-04-24,125.51000213623047,127.9800033569336,125.51000213623047,127.61000061035156,126.11573791503906,372500
2019-04-25,126.91999816894531,128.66000366210938,126.47000122070312,127.98999786376953,126.49129486083984,230400
2019-04-26,127.98999786376953,129.50999450683594,127.51000213623047,129.11000061035156,127.59818267822266,279000
2019-04-29,129.44000244140625,130.85000610351562,128.83999633789062,130.3300018310547,128.80389404296875,575300
2019-04-30,130.75,131.6999969482422,130.17999267578125,130.97999572753906,129.44627380371094,335500
2019-05-01,131.5800018310547,132.52000427246094,130.1300048828125,131.5,129.96018981933594,387800
2019-05-02,131.00999450683594,132.69000244140625,130.47999572753906,131.9600067138672,130.41482543945312,352500
2019-05-03,133.0,134.99000549316406,132.9499969482422,133.22999572753906,131.66993713378906,476400
2019-05-06,131.55999755859375,134.05999755859375,131.5500030517578,134.00999450683594,132.4407958984375,629100
2019-05-07,132.92999267578125,133.52999877929688,129.91000366210938,130.97000122070312,129.4364013671875,493600
2019-05-08,131.02999877929688,131.8000030517578,129.60000610351562,130.2100067138672,128.68528747558594,845200
2019-05-09,129.41000366210938,130.63999938964844,127.95999908447266,129.91000366210938,128.38880920410156,410700
2019-05-10,129.6699981689453,130.0500030517578,127.06999969482422,129.22999572753906,127.7167739868164,866200
2019-05-13,126.73999786376953,127.3499984741211,124.54000091552734,125.06999969482422,123.60548400878906,552600
2019-05-14,127.05000305175781,134.49000549316406,127.05000305175781,130.63999938964844,129.11024475097656,1053600
2019-05-15,130.8000030517578,132.8699951171875,130.0399932861328,131.4199981689453,129.88113403320312,502800
2019-05-16,132.1999969482422,135.97000122070312,132.0399932861328,133.72000122070312,132.15419006347656,596400
2019-05-17,132.39999389648438,135.6699981689453,132.39999389648438,133.35000610351562,131.78854370117188,419000
2019-05-20,132.97999572753906,135.10000610351562,132.50999450683594,134.75999450683594,133.1820068359375,554400
2019-05-21,134.8000030517578,137.27000427246094,134.8000030517578,135.8000030517578,134.2098388671875,703500
2019-05-22,136.38999938964844,137.60000610351562,135.63999938964844,136.11000061035156,134.51622009277344,442300
2019-05-23,135.2100067138672,135.9199981689453,134.3000030517578,134.8000030517578,133.22154235839844,486500
2019-05-24,135.60000610351562,136.47999572753906,134.72000122070312,135.11000061035156,133.52793884277344,530400
2019-05-28,135.49000549316406,137.6199951171875,132.66000366210938,133.9199981689453,132.35186767578125,4043700
2019-05-29,132.67999267578125,133.9199981689453,131.75999450683594,133.41000366210938,131.84783935546875,527800
