Symbol,Buy_price,Net_wealth,Profit_ratio,Name,Sector
AAL,35.2400016784668,-14.559997558593746,-41.31667668872601,American Airlines Group,Industrials
AAPL,200.6100006103516,107.12997436523449,53.402110582370696,Apple Inc.,Information Technology
AAP,168.9499969482422,11.450027465820341,6.777169383038258,Advance Auto Parts,Consumer Discretionary
ABBV,81.11000061035156,11.020004272460938,13.58649265138154,AbbVie Inc.,Health Care
ABC,79.51000213623047,3.7199935913085795,4.678648586796457,AmerisourceBergen Corp,Health Care
ABMD,265.66000366210943,-59.72001647949219,-22.479867370418898,ABIOMED Inc,Health Care
ABT,79.16999816894531,6.9199981689453125,8.740682492095477,Abbott Laboratories,Health Care
ACN,194.7700042724609,15.229995727539091,7.819477020821991,Accenture plc,Information Technology
ADBE,280.489990234375,111.0700073242187,39.59856365334448,Adobe Inc.,Information Technology
ADI,114.36000061035156,-19.830001831054688,-17.339980522227915,Analog Devices Inc.,Information Technology
ADM,43.13000106811523,-8.679996490478509,-20.125194239550765,Archer-Daniels-Midland Co,Consumer Staples
ADP,167.8699951171875,-18.509994506835938,-11.026386516491165,Automatic Data Processing,Information Technology
ADSK,171.42999267578125,44.28999328613281,25.835615223933843,Autodesk Inc.,Information Technology
AEE,73.23999786376953,-8.370002746582031,-11.428185405126175,Ameren Corp,Utilities
AEP,91.22000122070312,1.0199890136719034,1.1181637798974382,American Electric Power,Utilities
AES,16.75,-0.4200000762939453,-2.507463142053405,AES Corp,Utilities
AFL,50.72000122070313,0.3800010681152486,0.749213444340648,AFLAC Inc,Financials
AIG,44.16999816894531,1.4299964904785085,3.2374836987969333,American International Group,Financials
AIV,50.4900016784668,-1.920001983642571,-3.802737016864514,Apartment Investment & Management,Real Estate
AIZ,96.2300033569336,21.40000152587892,22.23838800722332,Assurant,Financials
AJG,81.05000305175781,18.48999786376953,22.813074852029285,Arthur J. Gallagher & Co.,Financials
AKAM,87.58000183105469,13.440002441406236,15.34597186619445,Akamai Technologies Inc,Information Technology
ALB,84.25,6.749996185302749,8.011864908371216,Albemarle Corp,Materials
ALGN,186.07000732421875,114.28999328613284,61.42311430503015,Align Technology,Health Care
ALK,61.75,-1.2000007629394602,-1.9433210735861703,Alaska Air Group Inc,Industrials
ALLE,102.6999969482422,10.849998474121094,10.564750532163284,Allegion,Industrials
ALL,96.88999938964844,4.489997863769574,4.634118992727827,Allstate Corp,Financials
ALXN,136.50999450683594,5.7900009155273295,4.241448354345503,Alexion Pharmaceuticals,Health Care
AMAT,42.84000015258789,15.020004272460923,35.06070079122908,Applied Materials Inc.,Information Technology
AMCR,11.770000457763672,1.5599994659423864,13.254030631013162,Amcor plc,Materials
AMD,29.670000076293945,17.74999809265136,59.824732211016894,Advanced Micro Devices Inc,Information Technology
AME,86.95999908447266,4.5999984741210795,5.289786709464723,AMETEK Inc.,Industrials
AMGN,192.82000732421875,3.100006103515682,1.6077201461273423,Amgen Inc.,Health Care
AMP,148.19000244140625,31.99000549316409,21.587154980858315,Ameriprise Financial,Financials
AMT,217.02999877929688,-41.75999450683588,-19.241577082301255,American Tower Corp.,Real Estate
AMZN,1935.199951171875,298.2200927734375,15.410298692538104,Amazon.com Inc.,Consumer Discretionary
ANET,269.760009765625,-77.15998840332037,-28.60319751261839,Arista Networks,Information Technology
ANSS,199.77999877929688,60.92999267578128,30.498544923454784,ANSYS,Information Technology
ANTM,279.260009765625,43.04998779296881,15.415736692518001,Anthem,Health Care
AON,196.3999938964844,-31.349990844726562,-15.962317626776532,Aon plc,Financials
AOS,45.5,4.42000198364255,9.71429007393967,A.O. Smith Corp,Industrials
APA,29.11000061035156,-10.620000839233407,-36.48231060310222,Apache Corporation,Energy
APD,229.3999938964844,0.8700103759765625,0.37925475114404333,Air Products & Chemicals Inc,Materials
APH,96.16000366210938,8.449996948242216,8.787434095712113,Amphenol Corp,Information Technology
APTV,81.05999755859375,5.849998474121094,7.216874722815598,Aptiv PLC,Consumer Discretionary
ARE,149.8300018310547,16.660018920898438,11.119280996661765,Alexandria Real Estate Equities,Real Estate
ATO,103.12999725341795,-3.940010070800767,-3.820430694979182,Atmos Energy,Utilities
ATVI,48.45000076293945,22.67000961303711,46.790524780296664,Activision Blizzard,Communication Services
AVB,202.33999633789062,-7.360000610351619,-3.637442296905572,AvalonBay Communities,Real Estate
AVGO,281.19000244140625,0.6400146484374716,0.22760931856773123,Broadcom Inc.,Information Technology
AVY,112.37000274658205,-16.08999633789064,-14.318764745585137,Avery Dennison Corp,Materials
AWK,119.9499969482422,3.349990844726605,2.7928227844575173,American Water Works Company Inc,Utilities
AXP,118.16999816894531,-3.8000030517578125,-3.2157088183457727,American Express Co,Financials
AZO,1033.0400390625,107.83001708984375,10.438125630416144,AutoZone Inc,Consumer Discretionary
A,74.69999694824219,12.65999603271483,16.94778654607795,Agilent Technologies Inc,Health Care
BAC,29.489999771118164,0.37999916076660156,1.2885695616002144,Bank of America Corp,Financials
BAX,78.91999816894531,1.3700103759765625,1.7359483119142494,Baxter International Inc.,Health Care
BA,375.25,-123.27001953125011,-32.850105138241204,Boeing Company,Industrials
BBY,72.51000213623047,8.739990234374986,12.053496037628646,Best Buy Co. Inc.,Consumer Discretionary
BDX,251.8800048828125,-30.539993286132784,-12.124818442949275,Becton Dickinson,Health Care
BEN,34.759998321533196,-3.9500007629394567,-11.363639107233507,Franklin Resources,Financials
